TPU_ID,MTR_Stations,Station_Categories,Years
153,North Point,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
155,Quarry Bay,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
255,Nam Cheong,West Rail (Yellow),"2006, 2011, 2016"
260,Mei Foo,West Rail (Yellow),"2001, 2006, 2011, 2016"
265,Nam Cheong,West Rail (Yellow),2001
298,Yau Tong,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
324,Tsuen Wan West,West Rail (Yellow),"2006, 2011, 2016"
423,"Siu Hong, Tuen Mun",West Rail (Yellow),"2001, 2006, 2011, 2016"
424,Tuen Mun,West Rail (Yellow),"2001, 2006, 2011, 2016"
510,Tin Shui Wai,West Rail (Yellow),2001
515,Tin Shui Wai,West Rail (Yellow),"2006, 2011, 2016"
524,"Long Ping, Yuen Long",West Rail (Yellow),"2001, 2006, 2011, 2016"
531,Kam Sheung Road,West Rail (Yellow),"2001, 2006, 2011, 2016"
755,Sha Tin Wai,Ma On Shan Line (Blue),"2001, 2006, 2011, 2016"
756,"City One, Shek Mun",Ma On Shan Line (Blue),"2001, 2006, 2011, 2016"
757,"Ma On Shan, Tai Shui Hang, Wu Kai Sha",Ma On Shan Line (Blue),"2001, 2006, 2011, 2016"
759,"Che Kung Temple, Tai Wai",Ma On Shan Line (Blue),"2001, 2006, 2011, 2016"
833,Tiu Keng Leng,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
836,Po Lam,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
837,Hang Hau,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
838,Tseung Kwan O,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
839,LOHAS Park,Tseung Kwan O Line (Purple),"2001, 2006, 2011, 2016"
