Year,TPU_ID,MTR_Station
2001,524,Yuen Long
2001,524,Long Ping
2001,510,Tin Shui Wai
2001,531,Kam Sheung Road
2001,757,Ma On Shan
2001,260,Mei Foo
2001,756,City One
2001,759,Tai Wai
2001,755,Sha Tin Wai
2001,759,Che Kung Temple
2001,423,Siu Hong
2001,757,Heng On
2001,424,Tuen Mun
2001,756,Shek Mun
2001,837,Hang Hau
2001,838,Tseung Kwan O
2001,265,Nam Cheong
2001,833,Tiu Keng Leng
2001,836,Po Lam
2001,298,Yau Tong
2001,757,Tai Shui Hang
2001,757,Wu Kai Sha
2001,839,LOHAS Park
2006,524,Yuen Long
2006,324,Tsuen Wan West
2006,424,Tuen Mun
2006,260,Mei Foo
2006,423,Siu Hong
2006,515,Tin Shui Wai
2006,756,City One
2006,298,Yau Tong
2006,757,Tai Shui Hang
2006,255,Nam Cheong
2006,756,Shek Mun
2006,839,LOHAS Park
2006,531,Kam Sheung Road
2006,757,Ma On Shan
2006,757,Heng On
2006,837,Hang Hau
2006,838,Tseung Kwan O
2006,759,Che Kung Temple
2006,759,Tai Wai
2006,833,Tiu Keng Leng
2006,836,Po Lam
2006,757,Wu Kai Sha
2006,755,Sha Tin Wai
2006,524,Long Ping
2011,255,Nam Cheong
2011,260,Mei Foo
2011,424,Tuen Mun
2011,324,Tsuen Wan West
2011,423,Siu Hong
2011,524,Long Ping
2011,531,Kam Sheung Road
2011,298,Yau Tong
2011,524,Yuen Long
2011,515,Tin Shui Wai
2011,839,LOHAS Park
2011,756,Shek Mun
2011,833,Tiu Keng Leng
2011,838,Tseung Kwan O
2011,755,Sha Tin Wai
2011,759,Tai Wai
2011,757,Wu Kai Sha
2011,757,Tai Shui Hang
2011,757,Heng On
2011,837,Hang Hau
2011,836,Po Lam
2011,757,Ma On Shan
2011,759,Che Kung Temple
2011,756,City One
2016,298,Yau Tong
2016,255,Nam Cheong
2016,836,Po Lam
2016,755,Sha Tin Wai
2016,756,City One
2016,424,Tuen Mun
2016,759,Che Kung Temple
2016,324,Tsuen Wan West
2016,837,Hang Hau
2016,839,LOHAS Park
2016,524,Long Ping
2016,759,Tai Wai
2016,833,Tiu Keng Leng
2016,838,Tseung Kwan O
2016,756,Shek Mun
2016,524,Yuen Long
2016,757,Wu Kai Sha
2016,515,Tin Shui Wai
2016,260,Mei Foo
2016,757,Ma On Shan
2016,757,Tai Shui Hang
2016,757,Heng On
2016,423,Siu Hong
2016,531,Kam Sheung Road
