TPU_ID,MTR_Stations,New_Towns
111,Kennedy Town,
112,Sai Ying Pun,
114,Sheung Wan,
116,HKU,
121,Hong Kong,
123,Central,
124,Admiralty,
135,Exhibition Centre,
146,Causeway Bay,
151,"Fortress Hill, Tin Hau",
153,North Point,
155,Quarry Bay,
156,Tai Koo,
161,"Sai Wan Ho, Shau Kei Wan",
162,Heng Fa Chuen,
163,"Chai Wan, Wan Chai",
174,"Lei Tung, South Horizons",
175,"Ocean Park, Wong Chuk Hang",
176,Hong Kong station,
212,Jordan,
214,"East Tsim Sha Tsui, Tsim Sha Tsui",
215,Hung Hom,
222,"Mong Kok East, Prince Edward",
226,Yau Ma Tei,
236,Ho Man Tin,
241,To Kwa Wan,
245,Whampoa,
251,"Airport, Austin",
253,Olympic,
255,Nam Cheong,
260,Mei Foo,Kwai Chung
261,,Kwai Chung
263,Shek Kip Mei,
264,"Cheung Sha Wan, Lai Chi Kok",
266,Sham Shui Po,
269,,Kwai Chung
271,Kowloon Tong,
280,Kowloon Bay,
281,"Diamond Hill, Wong Tai Sin",
282,Lok Fu,
286,"Kai Tak, Sung Wong Toi",
290,Lam Tin,
291,Choi Hung,
294,"Kwun Tong, Ngau Tau Kok",
297,,Tseung Kwan O
298,Yau Tong,Tseung Kwan O
310,,Tsuen Wan
320,,Kwai Chung
321,,Tsuen Wan
322,,Tsuen Wan
323,,Tsuen Wan
324,"Tsuen Wan, Tsuen Wan West","Kwai Chung, Tsuen Wan"
325,Tai Wo Hau,"Kwai Chung, Tsuen Wan"
326,"Kwai Fong, Kwai Hing",Kwai Chung
327,,Kwai Chung
328,Lai King,Kwai Chung
329,,"Kwai Chung, Tsuen Wan"
331,,Tsuen Wan
332,,Tsuen Wan
334,,Tsuen Wan
335,,Tsuen Wan
336,,"Tsuen Wan, Tuen Mun"
340,,Tsuen Wan
350,,Tsing Yi
351,Tsing Yi,Tsing Yi
413,,"Tsuen Wan, Tuen Mun"
414,,Tuen Mun
415,,Tuen Mun
416,,Tuen Mun
421,,Tuen Mun
422,,Tuen Mun
423,Siu Hong,Tuen Mun
424,Tuen Mun,Tuen Mun
425,,Tuen Mun
426,,Tuen Mun
427,,Tuen Mun
428,,Tuen Mun
432,,Tuen Mun
433,,Tuen Mun
441,,Tuen Mun
442,,Tuen Mun
510,,Tin Shui Wai
511,,Tin Shui Wai
512,,Tuen Mun
514,,Tin Shui Wai
515,Tin Shui Wai,Yuen Long
516,,Tin Shui Wai
517,,Yuen Long
518,,Yuen Long
519,,Tuen Mun
522,,Tuen Mun
523,,Yuen Long
524,"Long Ping, Yuen Long",Yuen Long
525,,Yuen Long
527,,Yuen Long
528,,Yuen Long
529,,Yuen Long
531,Kam Sheung Road,
541,,Yuen Long
542,Lok Ma Chau,
545,Kwu Tung,
548,,Fanling/Sheung Shui
621,,Fanling/Sheung Shui
623,,Fanling/Sheung Shui
624,,Fanling/Sheung Shui
625,,Fanling/Sheung Shui
626,Sheung Shui,Fanling/Sheung Shui
627,,Fanling/Sheung Shui
628,Fanling,Fanling/Sheung Shui
631,,Tai Po
632,,Fanling/Sheung Shui
633,,Tai Po
634,,Fanling/Sheung Shui
641,Lo Wu,Fanling/Sheung Shui
711,,Tai Po
712,,Tai Po
720,,Tai Po
721,,Tai Po
722,,Tai Po
723,Tai Po Market,Tai Po
724,,"Sha Tin, Tai Po"
725,,Tai Po
726,Tai Wo,Tai Po
727,,Tai Po
728,,Tai Po
729,,Tai Po
732,,Sha Tin
733,,"Kwai Chung, Sha Tin"
741,,Ma On Shan
751,,"Sha Tin, Tai Po"
753,"Fo Tan, Racecourse, University",Sha Tin
754,,Sha Tin
755,Sha Tin Wai,Sha Tin
756,"City One, Shek Mun",Sha Tin
757,"Heng On, Ma On Shan, Tai Shui Hang, Wu Kai Sha",Ma On Shan
758,MTR stations,Sha Tin
759,"Che Kung Temple, Hin Keng, Tai Wai",Sha Tin
761,,Kwai Chung
762,,Ma On Shan
831,,Tseung Kwan O
832,,Tseung Kwan O
833,Tiu Keng Leng,Tseung Kwan O
834,,Tseung Kwan O
835,,Tseung Kwan O
836,Po Lam,Tseung Kwan O
837,Hang Hau,Tseung Kwan O
838,Tseung Kwan O,Tseung Kwan O
839,LOHAS Park,Tseung Kwan O
943,,Tung Chung/Tai Ho
950,Tung Chung,Tung Chung/Tai Ho
951,AsiaWorld–Expo,
961,,Tung Chung/Tai Ho
972,,Tung Chung/Tai Ho
973,Disneyland Resort,
974,Sunny Bay,Tung Chung/Tai Ho
